Symbol  Name  Price(Intraday)  Change%  Change  Volume  AvgVol(3 month)  Market Cap  PERatio(TTM)  52WeekRange
TSLA  Tesla, Inc.  224.90  +10.25  +4.78%  113.735M  118.951M  714.78B  72.77	
PLUG	Plug Power Inc.  3.5650  +0.0350  +0.9915%  60.600M  23.643M  2.162B  N/A	
PLTR  Palantir  Technologies Inc.  19.82  +0.15  +0.74%  53.729M  57.049M  43.106B  283.00	
TWNK	Hostess Brands, Inc.	33.30	0.00	0.00%	52.705M	4.251M	4.426B	35.43	
AMD	Advanced Micro Devices, Inc.	116.85	-1.74	-1.47%	36.981M	56.227M	188.771B	1,062.27	
RIVN	Rivian Automotive, Inc.	16.35	+0.95	+6.20%	30.068M	35.935M	15.654B	N/A	
NVDA	NVIDIA Corporation	490.45	+7.10	+1.47%	29.823M	49.886M	1.211T	117.86	
SOFI	SoFi Technologies, Inc.	7.08	+0.15	+2.04%	27.933M	29.256M	6.793B	N/A	
AAPL	Apple Inc.	185.00	-1.40	-0.75%	27.605M	58.677M	2.877T	30.18	
AMZN	Amazon.com, Inc.	143.15	-0.41	-0.29%	26.057M	52.066M	1.48T	74.96	
NIO	NIO Inc.	7.30	+0.06	+0.76%	25.047M	44.836M	13.391B	N/A	
MARA	Marathon Digital Holdings, Inc.	9.16	-0.45	-4.63%	24.542M	31.777M	2.037B	N/A	
F	Ford Motor Company	9.80	-0.06	-0.62%	23.689M	49.983M	39.201B	6.40	
DNA	Ginkgo Bioworks Holdings, Inc.	1.2400	-0.0400	-3.1250%	20.226M	19.588M	2.637B	N/A	
LCID	Lucid Group, Inc.	3.9850	+0.1850	+4.8684%	19.867M	27.369M	9.112B	N/A	
U	Unity Software Inc.	28.35	+1.34	+4.96%	19.240M	10.61M	10.852B	N/A	
BAC	Bank of America Corporation	27.73	+0.05	+0.19%	18.478M	44.641M	219.475B	7.77	
RLX	RLX Technology Inc.	1.8800	+0.2400	+14.63%	18.258M	4.587M	2.989B	47.00	
LIFW	MSP Recovery, Inc.	6.28	+0.97	+18.27%	18.218M	3.825M	19.594B	N/A	
PFE	Pfizer Inc.	29.00	-0.48	-1.61%	17.790M	27.438M	163.774B	15.85	
UBER	Uber Technologies, Inc.	52.42	+0.83	+1.62%	15.881M	18.523M	107.863B	100.80	
STNE	StoneCo Ltd.	12.06	+1.34	+12.52%	15.510M	4.568M	3.778B	24.13	
AAL	American Airlines Group Inc.	11.78	-0.02	-0.15%	15.266M	32.299M	7.702B	4.93	
GRAB	Grab Holdings Limited	3.3400	+0.0700	+2.1407%	15.235M	19.106M	13.066B	N/A	
BBD	Banco Bradesco S.A.	3.0000	-0.0900	-2.9126%	15.114M	17.011M	31.878B	11.11	
INTC	Intel Corporation	38.39	-0.47	-1.21%	14.658M	37.137M	161.873B	N/A	
LYFT	Lyft, Inc.	9.85	-0.41	-4.02%	14.418M	12.591M	3.867B	N/A	
RIOT	Riot Platforms, Inc.	9.96	-0.40	-3.87%	14.227M	20.26M	2.057B	N/A	
T	AT&T Inc.	15.57	-0.07	-0.47%	13.384M	37.155M	111.29B	N/A	
MSFT	Microsoft Corporation	367.52	-2.15	-0.59%	12.485M	22.618M	2.732T	35.65	
CCL	Carnival Corporation & plc	12.71	-0.06	-0.43%	12.261M	27.308M	16.603B	N/A	
META	Meta Platforms, Inc.	331.05	+2.28	+0.73%	12.158M	20.624M	851.025B	29.20	
WBD	Warner Bros. Discovery, Inc.	9.82	-0.31	-3.06%	11.916M	20.508M	23.947B	N/A	
VZ	Verizon Communications Inc.	35.87	+0.16	+0.43%	11.670M	22.499M	150.78B	7.22	
NU	Nu Holdings Ltd.	8.48	-0.04	-0.41%	10.957M	26.685M	40.241B	848.50	
GOOGL	Alphabet Inc.	132.57	-0.01	-0.01%	10.797M	27.402M	1.667T	25.39	
ABEV	Ambev S.A.	2.7500	+0.0300	+1.10%	10.772M	12.543M	43.442B	14.47	
BA	The Boeing Company	206.29	+9.65	+4.90%	10.568M	5.005M	124.804B	N/A	
MPW	Medical Properties Trust, Inc.	4.0950	-0.1450	-3.42%	10.127M	14.062M	2.453B	N/A	
C	Citigroup Inc.	42.67	+0.59	+1.41%	9.776M	17.411M	81.676B	6.77	
GOOG	Alphabet Inc.	134.10	+0.04	+0.03%	9.676M	21.265M	1.668T	25.73	
GM	General Motors Company	26.93	+0.08	+0.32%	9.274M	14.214M	36.887B	3.78	
M	Macy's, Inc.	10.63	-0.34	-3.02%	9.167M	11.427M	2.908B	3.94	
RIG	Transocean Ltd.	6.53	-0.12	-1.73%	8.956M	14.618M	5.287B	N/A	
DIS	The Walt Disney Company	89.54	+1.28	+1.44%	8.890M	14.198M	159.48B	69.41	
