Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),
TSLA,"Tesla, Inc.",237.41,13.7,6.12%,146.535M,119.592M,754.707B,76.34,
LU,Lufax Holding Ltd,0.8246,-0.1954,-19.16%,97.724M,10.838M,3.915B,6.34,
PLTR,Palantir Technologies Inc.,19.94,0.23,1.17%,80.323M,57.472M,43.389B,284.86,
PLUG,Plug Power Inc.,4.23,0.76,21.90%,76.838M,24.651M,2.561B,N/A,
F,Ford Motor Company,10.4,0.58,5.91%,63.775M,49.77M,41.631B,6.8,
BAC,Bank of America Corporation,29.22,1.52,5.49%,65.947M,44.578M,231.239B,8.18,
AMD,"Advanced Micro Devices, Inc.",119.88,3.09,2.65%,59.865M,56.059M,193.666B,"1,089.82",
AMZN,"Amazon.com, Inc.",145.8,3.21,2.25%,54.956M,51.886M,1.507T,76.34,
AAPL,Apple Inc.,187.44,2.64,1.43%,57.243M,58.676M,2.915T,30.53,
CCL,Carnival Corporation & plc,13.89,1.11,8.69%,46.62M,27.29M,18.144B,N/A,
SE,Sea Limited,35.87,-10.16,-22.07%,42.942M,8.322M,20.401B,79.71,
RIVN,"Rivian Automotive, Inc.",16.9,0.71,4.39%,42.553M,35.997M,16.185B,N/A,
NIO,NIO Inc.,7.58,0.36,4.99%,42.938M,44.314M,13.829B,N/A,
NVDA,NVIDIA Corporation,496.56,10.36,2.13%,40.817M,49.406M,1.227T,120.23,
SOFI,"SoFi Technologies, Inc.",7.48,0.44,6.25%,37.824M,29.352M,7.171B,N/A,
MARA,"Marathon Digital Holdings, Inc.",9.17,-0.01,-0.11%,37.111M,31.936M,2.041B,N/A,
SNAP,Snap Inc.,12.15,0.85,7.52%,36.826M,23.145M,20.004B,N/A,
PFE,Pfizer Inc.,29.26,0.28,0.97%,34.595M,27.676M,165.214B,15.99,
INTC,Intel Corporation,39.41,1.18,3.09%,42.097M,36.944M,166.153B,N/A,
NU,Nu Holdings Ltd.,8.83,0.38,4.50%,37.932M,26.701M,41.877B,883,
AAL,American Airlines Group Inc.,12.25,0.47,3.99%,35.107M,32.244M,8.006B,5.13,
DNA,"Ginkgo Bioworks Holdings, Inc.",1.44,0.16,12.50%,32.079M,19.72M,3.051B,N/A,
LCID,"Lucid Group, Inc.",4.17,0.2,5.04%,29.348M,27.409M,9.547B,N/A,
TME,Tencent Music Entertainment Group,7.66,0.23,3.10%,28.376M,7.385M,13.145B,18.68,
UBER,"Uber Technologies, Inc.",53.88,1.64,3.14%,27.791M,18.603M,110.877B,103.62,
GOOGL,Alphabet Inc.,133.62,1.53,1.16%,31.379M,27.303M,1.681T,25.6,
MPW,"Medical Properties Trust, Inc.",4.68,0.6,14.71%,26.376M,14.126M,2.803B,N/A,
T,AT&T Inc.,15.63,0.05,0.32%,25.214M,37.107M,111.755B,N/A,
WBD,"Warner Bros. Discovery, Inc.",10.44,0.55,5.56%,27.514M,20.621M,25.459B,N/A,
KEY,KeyCorp,11.92,1.07,9.86%,24.28M,14.54M,11.16B,9.69,
RKLB,"Rocket Lab USA, Inc.",4.32,-0.01,-0.23%,24.796M,3.723M,2.099B,N/A,
VALE,Vale S.A.,15.16,0.69,4.77%,24.009M,20.997M,65.334B,7.22,
RUN,Sunrun Inc.,10.98,1.75,18.96%,24.575M,11.144M,2.392B,N/A,
NCLH,Norwegian Cruise Line Holdings Ltd.,14.03,0.93,7.10%,23.226M,13.227M,5.969B,N/A,
DKNG,DraftKings Inc.,37.03,1.45,4.08%,23.365M,11.826M,17.265B,N/A,
C,Citigroup Inc.,44.36,1.66,3.89%,25.768M,17.443M,84.901B,7.04,
MSFT,Microsoft Corporation,370.27,3.59,0.98%,26.145M,22.635M,2.752T,35.95,
AFRM,"Affirm Holdings, Inc.",25.56,2.68,11.71%,22.449M,15.342M,7.712B,N/A,
RIOT,"Riot Platforms, Inc.",9.73,-0.06,-0.61%,21.782M,20.27M,2.009B,N/A,
GRAB,Grab Holdings Limited,3.32,-0.01,-0.30%,22.759M,19.184M,12.988B,N/A,
LYFT,"Lyft, Inc.",10.51,0.74,7.57%,22.815M,12.627M,4.13B,N/A,
ONON,On Holding AG,25.65,-0.91,-3.43%,19.899M,4.749M,8.156B,183.21,
GM,General Motors Company,28.2,1.3,4.83%,19.782M,14.223M,38.619B,3.96,
BABA,Alibaba Group Holding Limited,83.87,1.61,1.96%,20.198M,12.07M,214.471B,18.76,
M,"Macy's, Inc.",11.73,0.99,9.22%,18.764M,11.506M,3.21B,4.34,
CSCO,"Cisco Systems, Inc.",53.17,0.94,1.80%,18.171M,16.952M,215.367B,17.32,
AGNC,AGNC Investment Corp.,8.67,0.23,2.73%,19.439M,15.41M,5.818B,18.06,
U,Unity Software Inc.,29.18,1.02,3.62%,18.178M,10.897M,11.089B,N/A,
GOOG,Alphabet Inc.,135.43,1.79,1.34%,21.293M,21.248M,1.684T,25.89,
HBAN,Huntington Bancshares Incorporated,10.82,0.59,5.77%,17.541M,14M,15.668B,7.17,
PCG,PG&E Corporation,17.4,0.83,5.01%,17.481M,16.141M,44.257B,20.23,
CMCSA,Comcast Corporation,41.87,0.38,0.92%,21.986M,18.668M,168.53B,11.66,
WFC,Wells Fargo & Company,42.08,1.31,3.21%,16.839M,15.432M,152.819B,9.19,
XOM,Exxon Mobil Corporation,104.29,0.4,0.39%,15.309M,18.402M,417.799B,10.35,
JD,"JD.com, Inc.",26.71,0.96,3.73%,16.07M,10.754M,42.134B,14.06,
SWN,Southwestern Energy Company,6.66,0,0.00%,15.217M,19.835M,7.336B,1.44,
VZ,Verizon Communications Inc.,35.88,0.06,0.17%,15.003M,22.488M,150.843B,7.22,
META,"Meta Platforms, Inc.",336.31,7.12,2.16%,17.02M,20.644M,864.27B,29.71,
SQ,"Block, Inc.",55.1,3.08,5.92%,14.837M,12.73M,33.837B,N/A,
GOLD,Barrick Gold Corporation,15.71,0.58,3.83%,15.591M,16.007M,27.58B,523.67,
PBR,Petróleo Brasileiro S.A. - Petrobras,15.83,0.31,2.00%,14.809M,19.532M,102.799B,3.83,
PARA,Paramount Global,12.52,0.52,4.33%,15.934M,12.164M,8.308B,N/A,
NEM,Newmont Corporation,36.09,1.89,5.53%,14.53M,12.788M,41.593B,N/A,
TOST,"Toast, Inc.",14.71,0.9,6.52%,14.394M,7.786M,7.946B,N/A,
PYPL,"PayPal Holdings, Inc.",56.68,2.29,4.21%,15.687M,14.775M,61.109B,16.92,
KVUE,Kenvue Inc.,19.41,0.31,1.62%,14.47M,42.532M,37.168B,34.66,
ITUB,Itaú Unibanco Holding S.A.,6.11,0.16,2.69%,13.795M,16.342M,59.901B,9.4,
KGC,Kinross Gold Corporation,5.3,0.15,2.91%,13.722M,11.738M,6.51B,27.89,
CVNA,Carvana Co.,33.21,4.57,15.96%,13.682M,8.472M,5.898B,N/A,
XPEV,XPeng Inc.,17,1.34,8.56%,13.629M,12.543M,15.226B,N/A,
SCHW,The Charles Schwab Corporation,54.79,0.83,1.54%,15.232M,9.809M,99.859B,18.26,
CSX,CSX Corporation,31.11,0.66,2.17%,13.091M,12.949M,61.477B,16.46,
TECK,Teck Resources Limited,36.63,0.18,0.49%,12.645M,3.198M,19.052B,11.89,
BBD,Banco Bradesco S.A.,3.09,0.08,2.66%,12.675M,17.05M,32.884B,12.88,
SHOP,Shopify Inc.,65.52,3.18,5.10%,12.426M,11.468M,84.145B,N/A,
STNE,StoneCo Ltd.,12.85,0.75,6.20%,13.175M,4.767M,4.037B,25.7,
BKR,Baker Hughes Company,34.7,0.23,0.67%,12.057M,6.682M,35.159B,20.78,
TSM,Taiwan Semiconductor Manufacturing Company Limited,98.91,2.49,2.58%,12.134M,8.916M,512.988B,17.63,
NYCB,"New York Community Bancorp, Inc.",9.1,0.05,0.55%,11.826M,9.038M,6.575B,2.33,
NEE,"NextEra Energy, Inc.",57.55,3.05,5.60%,11.834M,14.514M,118.076B,15.18,
CLVT,Clarivate Plc,7.24,0.75,11.56%,13.827M,5.719M,4.807B,30.17,
AI,"C3.ai, Inc.",29.63,2.03,7.36%,12.003M,8.007M,3.502B,N/A,
DIS,The Walt Disney Company,91.07,1.63,1.82%,12.915M,14.185M,162.196B,70.6,
CNHI,CNH Industrial N.V.,10.2,0.4,4.08%,12.401M,7.045M,13.548B,5.9,
UPST,"Upstart Holdings, Inc.",25.43,3.59,16.44%,11.727M,5.72M,2.163B,N/A,
FHN,First Horizon Corporation,12.33,0.86,7.50%,11.343M,6.509M,6.89B,7.34,
RLX,RLX Technology Inc.,1.91,0.03,1.60%,11.399M,4.792M,3.036B,191,
LYG,Lloyds Banking Group plc,2.1,0.07,3.45%,11.308M,9.815M,33.528B,4.57,
BCS,Barclays PLC,6.91,0.2,2.98%,11.607M,10.071M,26.041B,4.19,
RIG,Transocean Ltd.,6.64,0.1,1.53%,11.235M,14.687M,5.372B,N/A,
RBLX,Roblox Corporation,39.24,0.49,1.26%,10.759M,10.558M,24.475B,N/A,
NI,NiSource Inc.,25.97,1.16,4.68%,11.893M,5.333M,10.736B,17.31,
HMY,Harmony Gold Mining Company Limited,5.41,0.68,14.38%,10.687M,4.103M,3.354B,13.2,
BRFS,BRF S.A.,2.58,0.14,5.74%,10.724M,4.975M,4.368B,N/A,
MO,"Altria Group, Inc.",40.22,0.22,0.55%,10.8M,8.366M,71.135B,8.21,
MS,Morgan Stanley,78.31,3.27,4.36%,12.263M,8.27M,128.531B,13.98,
CFLT,"Confluent, Inc.",19.68,1.72,9.58%,11.408M,4.804M,6.059B,N/A,
KMI,"Kinder Morgan, Inc.",16.8,0.28,1.69%,10.432M,13.37M,37.343B,15.41,
FCX,Freeport-McMoRan Inc.,35.17,1.74,5.20%,10.36M,9.868M,50.433B,23.45,
USB,U.S. Bancorp,36.15,2.15,6.32%,10.14M,11.983M,56.286B,10.79,
